id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr
17,W1,NSi,1,0,1,sponge,-2.292296705,0.446937588,NA,0.229406614115533,NA,NA
19,W3,NSi,1,0,1,sponge,-4.007783005,1.2519427,NA,0.401087663425677,NA,NA
22,W6,NP,1,1,0,sponge,-5.191303602,0.298627595,NA,0.519531079717097,NA,NA
23,W7,P,0,1,0,sponge,-6.259358774,2.986929729,NA,0.626419040670259,NA,NA
24,W8,NP,1,1,0,sponge,-5.725331188,0.191307425,NA,0.572975060193678,NA,NA
25,X1,N,1,0,0,sponge,-8.776917394,1.181027974,NA,0.878369234374165,NA,NA
28,X4,PSi,0,1,1,sponge,-3.741800154,1.032577033,NA,0.374468846966354,NA,NA
29,X5,NSi,1,0,1,sponge,-4.807300985,0,NA,0.481101176648561,NA,NA
30,X6,C,0,0,0,sponge,-9.218847559,3.266890444,NA,0.922596363701287,NA,NA
31,X7,NPSi,1,1,1,sponge,-9.755280675,2.479386354,NA,0.976281082862022,NA,NA
32,X8,NSi,1,0,1,sponge,-6.297503601,1.160691546,NA,0.630236467789971,NA,NA
35,Y3,C,0,0,0,sponge,-12.74397946,6.609661499,NA,1.27538166062866,NA,NA
36,Y4,N,1,0,0,sponge,-9.295480861,3.292534273,NA,0.930265609267084,NA,NA
37,Y5,C,0,0,0,sponge,-10.26456567,2.586634047,NA,1.0272488943447,NA,NA
42,Z2,P,0,1,0,sponge,-10.4240804,1.992267625,NA,1.0432126803725,NA,NA
45,Z5,C,0,0,0,sponge,-9.959407049,1.560798932,NA,0.996709476886617,NA,NA
47,Z7,NPSi,1,1,1,sponge,-10.25339714,2.240344574,NA,1.02613117923986,NA,NA
49,AA1,Si,0,0,1,glass,-0.003955405,1.315073509,0.095811724,NA,0.579675546623321,0.167933711108735
50,AA2,NSi,1,0,1,glass,-0.275846162,1.897913149,0,NA,0.836587334898678,0
51,AA3,N,1,0,0,glass,-0.508895383,1.500866329,0.059483986,NA,0.661571770488468,0.104260377576757
53,AA5,NPSi,1,1,1,glass,-2.645179905,2.567033866,0.588312345,NA,1.13153124087007,1.03116269348136
54,AA6,N,1,0,0,glass,-1.260479119,3.630639837,0.547652136,NA,1.60036159020931,0.959895634433065
55,AA7,NPSi,1,1,1,glass,-2.188438743,1.796407223,53.87815972,NA,0.791844206292659,94.4347824227521
58,BB2,C,0,0,0,glass,-2.295606074,2.063736633,0.489456172,NA,0.909681209935198,0.857892833543371
59,BB3,NSi,1,0,1,glass,-0.487179433,0.940799091,0.057104869,NA,0.414697903657755,0.100090387409668
61,BB5,NPSi,1,1,1,glass,-3.193728335,1.318072409,0.727671992,NA,0.580997441547727,1.27542489566774
62,BB6,Si,0,0,1,glass,-0.91249426,1.241024667,0.430895271,NA,0.547035315739335,0.755250390424393
63,BB7,Si,0,0,1,glass,-1.130359971,1.365642853,0.38162626,NA,0.601966172907682,0.66889427955964
64,BB8,P,0,1,0,glass,-0.989824229,0.573277565,0.138689635,NA,0.252696890009562,0.243087840668287
65,CC1,P,0,1,0,glass,-1.995113821,0.119457895,0.234340902,NA,0.0526562356466693,0.410740311252811
67,CC3,PSi,0,1,1,glass,-2.613753571,0,0.878864061,NA,0,1.54042633993126
70,CC6,C,0,0,0,glass,-2.845743477,2.223943267,1.017444705,NA,0.98029921531746,1.78332314695206
72,CC8,P,0,1,0,glass,-1.8017889,0.908553143,0.42544225,NA,0.40048410693433,0.74569262426538
74,DD2,NSi,1,0,1,glass,-1.581870867,1.298405472,0.134560686,NA,0.572328388161844,0.235850837725425
76,DD4,NP,1,1,0,glass,-2.467141549,3.218325793,0.634458327,NA,1.41861633627448,1.11204492465817
77,DD5,NP,1,1,0,glass,-10.5885378,3.43690983,0.916338079,NA,1.51496670776623,1.60610881228606
78,DD6,C,0,0,0,glass,-2.236201371,3.015711107,0.725683546,NA,1.32930514716059,1.27193965292104
2,U2,C,0,0,0,glass,-0.32630548,1.771157955,0.049548775,NA,0.780714498995256,0.0868464663744253
3,U3,Si,0,0,1,glass,0,2.589764991,0.038673146,NA,1.14155096769109,0.0677842403506896
9,V1,PSi,0,1,1,glass,-0.781999938,0.181228114,0.026057041,NA,0.0798841322006004,0.045671400252045
14,V6,NP,1,1,0,glass,0,1.440249993,0.107637128,NA,0.634852497790303,0.188660652407486
15,V7,NP,1,1,0,glass,0,1.680516062,0.054283616,NA,0.740760162973612,0.0951454446982033
18,W2,Si,0,0,1,glass,0,0.687892468,0.003283487,NA,0.303218367396955,0.00575512196489949
20,W4,PSi,0,1,1,glass,-0.406017799,1.525388641,0.193196447,NA,0.672381040476635,0.338624491484279
21,W5,N,1,0,0,glass,-0.423200154,2.423701316,0.054671947,NA,1.06835121807929,0.0958260906906349
26,X2,NP,1,1,0,glass,-0.423200154,0.393125553,0.00610708,NA,0.173287096323731,0.010704166104327
27,X3,NPSi,1,1,1,glass,-0.402254557,0.070775747,0.145798914,NA,0.0311974726501002,0.255548608055976
33,Y1,N,1,0,0,glass,-0.346910499,2.331649044,0.207939019,NA,1.02777519649241,0.364464490222301
34,Y2,NPSi,1,1,1,glass,-0.461344982,1.749509722,0.262382668,NA,0.771172103675281,0.459890432279991
38,Y6,NSi,1,0,1,glass,-0.137801241,0.571167812,0.022140972,NA,0.251766925094942,0.038807522088994
39,Y7,NSi,1,0,1,glass,0,0.787078863,0,NA,0.346939062358671,0
40,Y8,PSi,0,1,1,glass,-0.927540363,0.512658942,0.020791168,NA,0.225976609217199,0.0364416571872267
41,Z1,P,0,1,0,glass,-0.137801241,0.277218574,0.054480121,NA,0.122196080536809,0.0954898682460086
43,Z3,Si,0,0,1,glass,-0.465660007,1.252190894,0.130766263,NA,0.551957313403835,0.229200174223051
44,Z4,N,1,0,0,glass,-0.865817613,2.234528491,0.082178003,NA,0.984965110772229,0.144037247626342
46,Z6,P,0,1,0,glass,-0.635917706,1.519478591,0.057813692,NA,0.669775930236884,0.101332774791292
48,Z8,PSi,0,1,1,glass,-1.453804041,2.039033886,0.289491034,NA,0.89879240541414,0.507404539264162
