id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr
43,P3,N+P+Si,1,1,1,sponge,-6.29410348,5.507281614,0,,
44,P4,N,1,0,0,sponge,-9.683331012,3.783434716,0,,
45,P5,P,0,1,0,glass,-0.911212694,3.570411,0.008010234,,
46,P6,C,0,0,0,sponge,-12.91285942,1.148337488,0,,
47,P7,Si,0,0,1,glass,-1.307369553,1.886223594,0.002341355,,
48,P8,P+Si,0,1,1,sponge,-11.47762794,3.981497647,0,,
49,Q1,N+Si,1,0,1,glass,0,2.338705589,0.000499306,,
50,Q2,N,1,0,0,sponge,-15.28670962,3.008661266,0,,
51,Q3,P+Si,0,1,1,glass,-2.23053352,4.399098662,0.011400275,,
52,Q4,C,0,0,0,glass,-2.417195245,3.854035952,0.009385566,,
53,Q5,N+P,1,1,0,glass,-1.239400338,2.356111605,0.006068371,,
54,Q6,N+P+Si,1,1,1,sponge,-14.84947482,4.699537366,0,,
55,Q7,N+P,1,1,0,sponge,-14.19514431,1.721436465,0,,
56,Q8,P,0,1,0,glass,0,2.56238893,0.004214774,,
57,R1,Si,0,0,1,sponge,-1.043101187,1.509823196,0,,
58,R2,P+Si,0,1,1,sponge,-12.62475111,2.847624488,0,,
59,R3,N+P+Si,1,1,1,glass,-3.398691001,3.452957645,0.008438082,,
60,R4,Si,0,0,1,sponge,-9.873566056,2.988485514,0,,
61,R5,P+Si,0,1,1,sponge,-11.35277226,2.00534272,0,,
62,R6,C,0,0,0,sponge,,,,,
63,R7,P+Si,0,1,1,glass,-0.653000329,2.31898632,0.006942058,,
64,R8,N+Si,1,0,1,sponge,-9.289164003,3.306280635,0,,
65,S1,N+Si,1,0,1,glass,0,1.474355704,0.001101469,,
66,S2,Si,0,0,1,glass,-1.815409463,2.735541621,0.007503908,,
67,S3,P,0,1,0,sponge,-12.31939687,0,0,,
68,S4,P,0,1,0,sponge,-12.23412071,3.068102869,0,,
69,S5,N+Si,1,0,1,sponge,-5.454666321,3.687354329,0,,
70,S6,P,0,1,0,glass,-3.919695515,1.872788607,0.011061714,,
71,S7,N+P+Si,1,1,1,sponge,-13.19347747,4.073590204,0,,
72,S8,N,1,0,0,glass,-1.993345336,0.916068087,0.004274451,,
73,T1,N+Si,1,0,1,sponge,-8.404807662,2.354202658,0,,
74,T2,Si,0,0,1,sponge,-4.786457637,2.014475684,0,,
75,T3,Si,0,0,1,sponge,-5.611695362,2.829920707,0,,
76,T4,N+Si,1,0,1,glass,-1.675946211,3.10392036,0.006558959,,
77,T5,Si,0,0,1,glass,-0.72562972,1.936606508,0.008336261,,
78,T6,P+Si,0,1,1,sponge,-13.39056014,4.985800062,0,,
79,T7,N+Si,1,0,1,sponge,-15.46987707,6.201533591,0,,
80,T8,P,0,1,0,glass,-6.90057092,3.884702143,0.006348099,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
