id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,chla.nrr_1,gpp.nrr_1,site_date
37,E5,P,0,1,0,glass,-3.511431999,1.41544097,0.013363312,NA,2.07410341291062,0.0724799355999648,1.43761428944267,4.90503474039138,wenas_summer
38,E6,PSi,0,1,1,glass,-4.917230731,1.599822761,0.014483506,NA,2.34428557528767,0.0785556441503202,1.5581238533403,5.54398691820674,wenas_summer
44,F4,C,0,0,0,glass,-1.165509822,0.472694206,0.024533885,NA,0.692658109174045,0.13306689275959,2.63933549194565,1.63806301439171,wenas_summer
45,F5,N,1,0,0,glass,-5.881435889,0.334016686,4.309222712,NA,0.489448280136822,23.3723634269458,463.58269171311,1.15749330662684,wenas_summer
51,G3,P,0,1,0,glass,-4.559213627,1.774257514,0.002058316,NA,2.59989193697686,0.011163894932961,0.221431969394151,6.14846887226279,wenas_summer
52,G4,Si,0,0,1,glass,-3.677732119,0.692942155,0.208044032,NA,1.01539641645044,1.1283892826357,22.3812085833563,2.40130490454623,wenas_summer
53,G5,NPSi,1,1,1,glass,-6.843795597,10.49391694,0.789449258,NA,15.3771647150037,4.28181512032945,84.9283122395642,36.3653647481192,wenas_summer
55,G7,NSi,1,0,1,glass,-4.999954381,1.242438963,0.555046465,NA,1.82059651240096,3.01046118194263,59.7114494811348,4.30551778950615,wenas_summer
56,G8,C,0,0,0,glass,-0.611599697,0,0.943343722,NA,0,5.1165079599422,101.484154123112,0,wenas_summer
57,H1,NP,1,1,0,glass,-9.428021643,1.206806055,0.250938493,NA,1.76838215824479,1.36104027296468,26.9957599813587,4.18203637604871,wenas_summer
60,H4,NP,1,1,0,glass,-9.270755362,5.923196868,0.542874439,NA,8.67950207719386,2.94444254370376,58.4019927754119,20.5261024850209,wenas_summer
62,H6,C,0,0,0,glass,-1.674886766,0.328809814,0.010661405,NA,0.48181843811961,0.0578253316097942,1.14694532115508,1.13944953893176,wenas_summer
63,H7,C,0,0,0,glass,-0.877421464,0.200742454,0,NA,0.294156109496713,0,0,0.695648021790282,wenas_summer
66,I2,PSi,0,1,1,glass,-5.75082053,1.442599476,0.024193346,NA,2.11389988000324,0.131219877230111,2.60270058193887,4.99914916709695,wenas_summer
68,I4,PSi,0,1,1,glass,-5.796979807,1.773440168,0.013809149,NA,2.59869424652982,0.0748980664531606,1.48557707306714,6.14563646129695,wenas_summer
69,I5,NPSi,1,1,1,glass,-8.246436929,10.80709799,0.502262933,NA,15.8360816874748,2.72417384538275,54.0330398286134,37.4506547480845,wenas_summer
71,I7,NPSi,1,1,1,glass,-6.559944681,7.113000782,0.487700414,NA,10.4229703044289,2.64518965049953,52.4664158206818,24.6492200548222,wenas_summer
75,J3,NP,1,1,0,glass,-7.375990117,6.188205692,0.399671105,NA,9.06783032115435,2.16773625816465,42.9962940044611,21.4444576236533,wenas_summer
77,J5,NPSi,1,1,1,glass,-12.0116967,1.880815155,0.93414021,NA,2.75603519660697,5.06658994881939,100.49404775096,6.51773113189566,wenas_summer
80,J8,NSi,1,0,1,glass,-3.404613513,0.083944083,0.482746917,NA,0.123006690306521,2.61832287199772,51.9335226225053,0.290897785278391,wenas_summer
