id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date,gpp.es,cr.es,chla.es
48,P8,C,0,0,0,sponge,-7.449238072,5.087643626,0,0.986061237092032,NA,NA,ring_summer,NA,-0.0140368197238251,NA
51,Q3,N+Si,1,0,1,sponge,-4.687453477,3.958454377,0,0.620481736476574,NA,NA,ring_summer,NA,-0.477259108329758,NA
54,Q6,Si,0,0,1,sponge,-5.893672905,4.085215177,0,0.780149907889813,NA,NA,ring_summer,NA,-0.248269188162231,NA
57,R1,Si,0,0,1,sponge,-5.64146553,5.537814867,0,0.746765028282996,NA,NA,ring_summer,NA,-0.292004697169779,NA
58,R2,Si,0,0,1,sponge,-4.292449337,3.640005348,0,0.568194741863137,NA,NA,ring_summer,NA,-0.565291063629619,NA
59,R3,N+P+Si,1,1,1,sponge,-15.4171903,2.873681748,0,2.04078505650709,NA,NA,ring_summer,NA,0.71333456544855,NA
60,R4,P,0,1,0,sponge,-7.284267472,5.140148494,0,0.96422395489652,NA,NA,ring_summer,NA,-0.0364316929959365,NA
61,R5,N,1,0,0,sponge,NA,NA,NA,NA,NA,NA,ring_summer,NA,NA,NA
62,R6,N,1,0,0,sponge,-13.78685861,3.196558255,0,1.8249768265145,NA,NA,ring_summer,NA,0.601567289153561,NA
63,R7,N+P+Si,1,1,1,sponge,-15.03444877,4.062607592,0,1.99012127278713,NA,NA,ring_summer,NA,0.688195577978627,NA
66,S2,P,0,1,0,sponge,-7.236754825,3.375792674,0,0.957934670136722,NA,NA,ring_summer,NA,-0.0429756973483664,NA
67,S3,N,1,0,0,sponge,-13.66129558,4.323949295,0,1.80835595395033,NA,NA,ring_summer,NA,0.592418119777134,NA
68,S4,N+P+Si,1,1,1,sponge,-14.6151485,7.161549544,0,1.93461818120206,NA,NA,ring_summer,NA,0.659909984634925,NA
70,S6,Si,0,0,1,sponge,-3.286308093,5.97845454,0,0.435011069901155,NA,NA,ring_summer,NA,-0.832383800168617,NA
73,T1,P+Si,0,1,1,sponge,-7.301436144,4.57732846,0,0.966496584900813,NA,NA,ring_summer,NA,-0.0340775138104416,NA
75,T3,P,0,1,0,sponge,-8.979283629,6.380225272,0,1.18859451635633,NA,NA,ring_summer,NA,0.172771530408169,NA
77,T5,N+Si,1,0,1,sponge,-7.219980254,5.212183051,0,0.955714207577723,NA,NA,ring_summer,NA,-0.0452963566724206,NA
79,T7,C,0,0,0,sponge,-7.019627135,5.282240561,0,0.929193314774072,NA,NA,ring_summer,NA,-0.0734384727156476,NA
1,K1,C,0,0,0,glass,NA,NA,NA,NA,NA,NA,ring_summer,NA,NA,NA
2,K2,N+P+Si,1,1,1,glass,-5.700998727,4.747085283,4.327549082,NA,0.739142535791015,2.37237641278827,ring_summer,-0.302264500054403,NA,0.863892158591189
5,K5,Si,0,0,1,glass,-3.246703878,4.332105421,1.456795751,NA,0.674528304275241,0.798620145591816,ring_summer,-0.393741640871189,NA,-0.224869858535683
8,K8,P,0,1,0,glass,-6.020474842,1.630956517,0.927311508,NA,0.253947267401613,0.508355169912852,ring_summer,-1.37062864217233,NA,-0.676574922325758
13,L5,N+Si,1,0,1,glass,-2.853992198,5.68223939,1.854834213,NA,0.884750237527213,1.01682611870464,ring_summer,-0.12244989128843,NA,0.0166861277235437
14,L6,P+Si,0,1,1,glass,-4.954312334,4.213439496,1.602028877,NA,0.656051485872464,0.878237415309452,ring_summer,-0.421516008556118,NA,-0.129838317219307
15,L7,Si,0,0,1,glass,-2.024423605,3.079701034,0.859651803,NA,0.479523306627936,0.471263900652417,ring_summer,-0.734962779733656,NA,-0.752337043249298
18,M2,N+Si,1,0,1,glass,-3.446904148,5.97430414,1.481168927,NA,0.930226033107136,0.811981599558367,ring_summer,-0.0723276760140557,NA,-0.20827759971962
19,M3,C,0,0,0,glass,-4.823441764,5.834422515,1.816971662,NA,0.908445834764517,0.996069745704965,ring_summer,-0.0960200134356488,NA,-0.00393799804103372
20,M4,N+P,1,1,0,glass,-4.082229202,5.059720596,1.797180078,NA,0.787821260577396,0.985219935301054,ring_summer,-0.238484041531751,NA,-0.0148903781647396
21,M5,N+Si,1,0,1,glass,-2.72742332,3.805382783,1.325300682,NA,0.59251521980337,0.726534123184556,ring_summer,-0.523378718870919,NA,-0.319469827791193
23,M7,P,0,1,0,glass,-4.152820875,5.456048587,1.829504391,NA,0.849531311863344,1.00294022830472,ring_summer,-0.163070479381282,NA,0.00293591428753941
24,M8,Si,0,0,1,glass,-3.552791657,1.632930443,1.560613072,NA,0.254254616560544,0.855533136966934,ring_summer,-1.36941908665472,NA,-0.156030452365042
26,N2,N+P,1,1,0,glass,-3.959723237,5.092933623,4.312695312,NA,0.792992678307343,2.3642335280003,ring_summer,-0.231941290293642,NA,0.860453879775035
28,N4,N+Si,1,0,1,glass,-3.907374515,4.573117497,1.730102874,NA,0.712054968826402,0.948447994974073,ring_summer,-0.339600167142323,NA,-0.0529283198144097
29,N5,N+P+Si,1,1,1,glass,-5.259840075,6.479742888,4.0317059,NA,1.00892512014938,2.21019422292465,ring_summer,0.00888552667449414,NA,0.793080395344431
31,N7,P+Si,0,1,1,glass,-6.078437651,4.8773176,2.023389774,NA,0.759420293465611,1.10922882277192,ring_summer,-0.275199908515927,NA,0.103665019611134
34,O2,C,0,0,0,glass,-4.998289626,7.476155319,1.905668607,NA,1.16407101853475,1.04469369802005,ring_summer,0.151923359934961,NA,0.0437237305085411
35,O3,N,1,0,0,glass,-2.592373375,6.563710982,4.2166723,NA,1.02199933015925,2.31159340204513,ring_summer,0.0217608363598157,NA,0.837937071176882
38,O6,N+P+Si,1,1,1,glass,-6.198633353,8.714234022,5.422538519,NA,1.35684544273173,2.97265316606556,ring_summer,0.305162478074037,NA,1.08945487594766
41,P1,P,0,1,0,glass,-4.693118677,5.62687397,1.970104395,NA,0.876129592543125,1.08001760554694,ring_summer,-0.132241262294234,NA,0.0769773424356128
42,P2,P,0,1,0,glass,-3.839399907,5.407953451,1.366595506,NA,0.842042682807203,0.749172079351322,ring_summer,-0.171924573854541,NA,-0.288786576389986
43,P3,N+P,1,1,0,glass,-3.29178425,5.77206383,1.770839842,NA,0.898736306957095,0.970780132676147,ring_summer,-0.10676560571569,NA,-0.0296552702380003
44,P4,P+Si,0,1,1,glass,-4.204477013,8.297474527,1.599577893,NA,1.29195411435125,0.876893777948086,ring_summer,0.256155889521721,NA,-0.131369413731082
45,P5,N+P,1,1,0,glass,-2.794996137,6.199662627,1.500346645,NA,0.9653153634252,0.822494886634312,ring_summer,-0.0353004295542313,NA,-0.195413013219915
49,Q1,Si,0,0,1,glass,-3.877329996,4.765393768,1.608980799,NA,0.741993249275741,0.882048481449625,ring_summer,-0.298415133867275,NA,-0.12550825685605
50,Q2,Si,0,0,1,glass,-4.208744148,5.065649324,2.144628348,NA,0.788744390200457,1.17569220142522,ring_summer,-0.237312977417671,NA,0.161857081736293
52,Q4,C,0,0,0,glass,-5.092515218,6.443522938,1.693093911,NA,1.00328551098013,0.92815956167862,ring_summer,0.00328012548177721,NA,-0.0745516195121454
53,Q5,N,1,0,0,glass,-4.599236474,8.265740525,3.709470953,NA,1.28701298746797,2.03354398207156,ring_summer,0.252324019835775,NA,0.709780074885393
55,Q7,N,1,0,0,glass,-5.178866212,7.322418171,4.482987174,NA,1.14013345292477,2.45758807789529,ring_summer,0.131145319524048,NA,0.899180412842626
56,Q8,N,1,0,0,glass,-4.34586433,6.077227641,4.385373486,NA,0.946251685267645,2.40407593820872,ring_summer,-0.0552466932358741,NA,0.877165604447242
64,R8,N+P+Si,1,1,1,glass,-6.32454361,8.225753711,3.825747069,NA,1.28078686062672,2.09728692518835,ring_summer,0.247474623924076,NA,0.740644569068402
65,S1,N,1,0,0,glass,-4.150288438,8.484209603,2.204168889,NA,1.32102960580915,1.20833251870332,ring_summer,0.278411436953811,NA,0.189241325461742
69,S5,N+Si,1,0,1,glass,-2.397013454,5.206488128,1.607930058,NA,0.810673625619743,0.88147246183272,ring_summer,-0.209889740366153,NA,-0.126161517753896
71,S7,P+Si,0,1,1,glass,-5.906169748,7.420296431,1.599197027,NA,1.15537353836294,0.87668498597422,ring_summer,0.144423701526113,NA,-0.131607546148226
72,S8,P+Si,0,1,1,glass,-5.116332443,7.433969587,1.745946895,NA,1.15750251026793,0.957133738565166,ring_summer,0.146264675673899,NA,-0.0438121495759887
74,T2,C,0,0,0,glass,-4.609076226,5.935585948,1.88082943,NA,0.924197436418846,1.0310767807971,ring_summer,-0.0788295543878983,NA,0.0306036744220435
76,T4,N+P+Si,1,1,1,glass,-5.730398369,6.502880594,4.366419807,NA,1.01252776507056,2.39368547003768,ring_summer,0.0124499419144847,NA,0.872834215896844
78,T6,P,0,1,0,glass,-3.435955903,4.404007344,0.870690193,NA,0.685723757174474,0.47731518177597,ring_summer,-0.377280418690752,NA,-0.73957824785835
80,T8,N+P,1,1,0,glass,-2.900557436,5.479286595,1.526167112,NA,0.853149574257188,0.836649750211195,ring_summer,-0.158820396033557,NA,-0.178349754599903
