id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site_date,gpp.es,cr.es,chla.es
54,AA6,N,1,0,0,glass,-1.260479119,3.630639837,0.547652136,NA,1.60036159020931,0.959895634433065,reec_fall,0.470229597593785,NA,-0.0409307145622884
55,AA7,NPSi,1,1,1,glass,-2.188438743,1.796407223,0.492857584,NA,0.791844206292659,0.863854648197387,reec_fall,-0.23339061574395,NA,-0.14635075558357
58,BB2,C,0,0,0,glass,-2.295606074,2.063736633,0.489456172,NA,0.909681209935198,0.857892833543371,reec_fall,-0.0946610595997196,NA,-0.153276089925262
59,BB3,NSi,1,0,1,glass,-0.487179433,0.940799091,0.057104869,NA,0.414697903657755,0.100090387409668,reec_fall,-0.88020496682395,NA,-2.30168162714557
61,BB5,NPSi,1,1,1,glass,-3.193728335,1.318072409,0.727671992,NA,0.580997441547727,1.27542489566774,reec_fall,-0.543008925672232,NA,0.243279374598547
62,BB6,Si,0,0,1,glass,-0.91249426,1.241024667,0.430895271,NA,0.547035315739335,0.755250390424393,reec_fall,-0.603241916049469,NA,-0.280705941768263
63,BB7,Si,0,0,1,glass,-1.130359971,1.365642853,0.38162626,NA,0.601966172907682,0.66889427955964,reec_fall,-0.507554026435352,NA,-0.402129258905646
64,BB8,P,0,1,0,glass,-0.989824229,0.573277565,0.138689635,NA,0.252696890009562,0.243087840668287,reec_fall,-1.37556457170938,NA,-1.41433241672964
65,CC1,P,0,1,0,glass,-1.995113821,0.119457895,0.234340902,NA,0.0526562356466693,0.410740311252811,reec_fall,-2.94397061158095,NA,-0.88979411028499
67,CC3,PSi,0,1,1,glass,-2.613753571,0,0.878864061,NA,0,1.54042633993126,reec_fall,-Inf,NA,0.432059222222484
70,CC6,C,0,0,0,glass,-2.845743477,2.223943267,1.017444705,NA,0.98029921531746,1.78332314695206,reec_fall,-0.01989743216621,NA,0.578478560233993
72,CC8,P,0,1,0,glass,-1.8017889,0.908553143,0.42544225,NA,0.40048410693433,0.74569262426538,reec_fall,-0.915081196321465,NA,-0.293441795502653
74,DD2,NSi,1,0,1,glass,-1.581870867,1.298405472,0.134560686,NA,0.572328388161844,0.235850837725425,reec_fall,-0.55804234715962,NA,-1.44455571731658
76,DD4,NP,1,1,0,glass,-2.467141549,3.218325793,0.634458327,NA,1.41861633627448,1.11204492465817,reec_fall,0.349681985491771,NA,0.106200594884793
77,DD5,NP,1,1,0,glass,-10.5885378,3.43690983,0.916338079,NA,1.51496670776623,1.60610881228606,reec_fall,0.415393463648082,NA,0.473814366832172
78,DD6,C,0,0,0,glass,-2.236201371,3.015711107,0.725683546,NA,1.32930514716059,1.27193965292104,reec_fall,0.284656359967419,NA,0.240543021120353
2,U2,C,0,0,0,glass,-0.32630548,1.771157955,0.049548775,NA,0.780714498995256,0.0868464663744253,reec_fall,-0.247545754239879,NA,-2.44361347365786
3,U3,Si,0,0,1,glass,-0.002,1.801281498,0.038673146,NA,0.793992753887664,0.0677842403506896,reec_fall,-0.230680943862709,NA,-2.69142555426006
9,V1,PSi,0,1,1,glass,-0.781999938,0.181228114,0.01611041,NA,0.0798841322006004,0.0282374726790563,reec_fall,-2.52717804166982,NA,-3.56710536472965
14,V6,NP,1,1,0,glass,-0.002,1.312861015,0.107637128,NA,0.578700294167794,0.188660652407486,reec_fall,-0.546970562077272,NA,-1.66780536765401
15,V7,NP,1,1,0,glass,-0.002,1.342819665,0.054283616,NA,0.591905865336247,0.0951454446982033,reec_fall,-0.524407667998101,NA,-2.35234856133922
18,W2,Si,0,0,1,glass,-0.002,0.444527198,0.01611041,NA,0.1959445952839,0.0282374726790563,reec_fall,-1.62992333683529,NA,-3.56710536472965
20,W4,PSi,0,1,1,glass,-0.406017799,1.525388641,0.193196447,NA,0.672381040476635,0.338624491484279,reec_fall,-0.396930074637845,NA,-1.08286348028556
21,W5,N,1,0,0,glass,-0.423200154,2.423701316,0.054671947,NA,1.06835121807929,0.0958260906906349,reec_fall,0.0661165423562493,NA,-2.34522028567088
26,X2,NP,1,1,0,glass,-0.423200154,0.393125553,0.01611041,NA,0.173287096323731,0.0282374726790563,reec_fall,-1.75280554363788,NA,-3.56710536472965
27,X3,NPSi,1,1,1,glass,-0.402254557,0.070775747,0.145798914,NA,0.0311974726501002,0.255548608055976,reec_fall,-3.46741819225225,NA,-1.36434264063858
33,Y1,N,1,0,0,glass,-0.346910499,2.331649044,0.207939019,NA,1.02777519649241,0.364464490222301,reec_fall,0.0273964626640661,NA,-1.00932615279406
34,Y2,NPSi,1,1,1,glass,-0.461344982,1.749509722,0.262382668,NA,0.771172103675281,0.459890432279991,reec_fall,-0.259843708960273,NA,-0.776767008566578
38,Y6,NSi,1,0,1,glass,-0.137801241,0.571167812,0.01611041,NA,0.251766925094942,0.0282374726790563,reec_fall,-1.37925151987191,NA,-3.56710536472965
39,Y7,NSi,1,0,1,glass,-0.002,0.467080291,0.01611041,NA,0.205885846798245,0.0282374726790563,reec_fall,-1.58043340554193,NA,-3.56710536472965
40,Y8,PSi,0,1,1,glass,-0.927540363,0.512658942,0.01611041,NA,0.225976609217199,0.0282374726790563,reec_fall,-1.48732378410519,NA,-3.56710536472965
41,Z1,P,0,1,0,glass,-0.137801241,0.277218574,0.054480121,NA,0.122196080536809,0.0954898682460086,reec_fall,-2.1021283069259,NA,-2.3487351287884
43,Z3,Si,0,0,1,glass,-0.465660007,1.252190894,0.130766263,NA,0.551957313403835,0.229200174223051,reec_fall,-0.594284566485375,NA,-1.47315953400637
44,Z4,N,1,0,0,glass,-0.865817613,2.234528491,0.082178003,NA,0.984965110772229,0.144037247626342,reec_fall,-0.0151490589731781,NA,-1.9376833487821
46,Z6,P,0,1,0,glass,-0.635917706,1.519478591,0.057813692,NA,0.669775930236884,0.101332774791292,reec_fall,-0.400812055014402,NA,-2.28934537818726
48,Z8,PSi,0,1,1,glass,-1.453804041,2.039033886,0.289491034,NA,0.89879240541414,0.507404539264162,reec_fall,-0.106703188401655,NA,-0.678446685731308
