id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,site.date
40,O8,NP,1,1,0,sponge,-16.25388571,2.439993791,NA,2.1515390561886,NA,NA,ring_summer
46,P6,Si,0,0,1,sponge,-6.270876645,3.61755334,NA,0.830080650189244,NA,NA,ring_summer
47,P7,P,0,1,0,sponge,-6.823233564,3.71108354,NA,0.903196550312335,NA,NA,ring_summer
48,P8,C,0,0,0,sponge,-7.449238072,5.087643626,NA,0.986061237092032,NA,NA,ring_summer
51,Q3,NSi,1,0,1,sponge,-4.687453477,3.958454377,NA,0.620481736476574,NA,NA,ring_summer
54,Q6,Si,0,0,1,sponge,-5.893672905,4.085215177,NA,0.780149907889813,NA,NA,ring_summer
57,R1,Si,0,0,1,sponge,-5.64146553,5.537814867,NA,0.746765028282996,NA,NA,ring_summer
58,R2,Si,0,0,1,sponge,-4.292449337,3.640005348,NA,0.568194741863137,NA,NA,ring_summer
59,R3,NPSi,1,1,1,sponge,-15.4171903,2.873681748,NA,2.04078505650709,NA,NA,ring_summer
60,R4,P,0,1,0,sponge,-7.284267472,5.140148494,NA,0.96422395489652,NA,NA,ring_summer
61,R5,N,1,0,0,sponge,NA,NA,NA,NA,NA,NA,ring_summer
62,R6,N,1,0,0,sponge,-13.78685861,3.196558255,NA,1.8249768265145,NA,NA,ring_summer
63,R7,NPSi,1,1,1,sponge,-15.03444877,4.062607592,NA,1.99012127278713,NA,NA,ring_summer
66,S2,P,0,1,0,sponge,-7.236754825,3.375792674,NA,0.957934670136722,NA,NA,ring_summer
67,S3,N,1,0,0,sponge,-13.66129558,4.323949295,NA,1.80835595395033,NA,NA,ring_summer
68,S4,NPSi,1,1,1,sponge,-14.6151485,7.161549544,NA,1.93461818120206,NA,NA,ring_summer
70,S6,Si,0,0,1,sponge,-3.286308093,5.97845454,NA,0.435011069901155,NA,NA,ring_summer
73,T1,PSi,0,1,1,sponge,-7.301436144,4.57732846,NA,0.966496584900813,NA,NA,ring_summer
75,T3,P,0,1,0,sponge,-8.979283629,6.380225272,NA,1.18859451635633,NA,NA,ring_summer
77,T5,NSi,1,0,1,sponge,-7.219980254,5.212183051,NA,0.955714207577723,NA,NA,ring_summer
79,T7,C,0,0,0,sponge,-7.019627135,5.282240561,NA,0.929193314774072,NA,NA,ring_summer
1,K1,C,0,0,0,glass,NA,NA,NA,NA,NA,NA,ring_summer
2,K2,NPSi,1,1,1,glass,-5.700998727,4.747085283,0.004327549,NA,0.739142535791015,2.3723763678356,ring_summer
5,K5,Si,0,0,1,glass,-3.246703878,4.332105421,0.001456796,NA,0.674528304275241,0.798620282094421,ring_summer
8,K8,P,0,1,0,glass,-6.020474842,1.630956517,0.000927312,NA,0.253947267401613,0.508355439628844,ring_summer
13,L5,NSi,1,0,1,glass,-2.853992198,5.68223939,0.001854834,NA,0.884750237527213,1.01682600193735,ring_summer
14,L6,PSi,0,1,1,glass,-4.954312334,4.213439496,0.001602029,NA,0.656051485872464,0.878237482738451,ring_summer
15,L7,Si,0,0,1,glass,-2.024423605,3.079701034,0.000859652,NA,0.479523306627936,0.471264008648454,ring_summer
18,M2,NSi,1,0,1,glass,-3.446904148,5.97430414,0.001481169,NA,0.930226033107136,0.811981639577204,ring_summer
19,M3,C,0,0,0,glass,-4.823441764,5.834422515,0.001816972,NA,0.908445834764517,0.996069930997659,ring_summer
20,M4,NP,1,1,0,glass,-4.082229202,5.059720596,0.00179718,NA,0.787821260577396,0.985219892541202,ring_summer
21,M5,NSi,1,0,1,glass,-2.72742332,3.805382783,0.001325301,NA,0.59251521980337,0.726534297513186,ring_summer
23,M7,P,0,1,0,glass,-4.152820875,5.456048587,0.001829504,NA,0.849531311863344,1.00294001395725,ring_summer
24,M8,Si,0,0,1,glass,-3.552791657,1.632930443,0.001560613,NA,0.254254616560544,0.855533097496301,ring_summer
26,N2,NP,1,1,0,glass,-3.959723237,5.092933623,0.004312695,NA,0.792992678307343,2.36423335696089,ring_summer
28,N4,NSi,1,0,1,glass,-3.907374515,4.573117497,0.001730103,NA,0.712054968826402,0.94844806404768,ring_summer
29,N5,NPSi,1,1,1,glass,-5.259840075,6.479742888,0.004031706,NA,1.00892512014938,2.21019427774498,ring_summer
31,N7,PSi,0,1,1,glass,-6.078437651,4.8773176,0.00202339,NA,0.759420293465611,1.10922894666586,ring_summer
34,O2,C,0,0,0,glass,-4.998289626,7.476155319,0.001905669,NA,1.16407101853475,1.04469391346393,ring_summer
35,O3,N,1,0,0,glass,-2.592373375,6.563710982,0.004216672,NA,1.02199933015925,2.31159323758416,ring_summer
38,O6,NPSi,1,1,1,glass,-6.198633353,8.714234022,0.005422539,NA,1.35684544273173,2.97265342975132,ring_summer
41,P1,P,0,1,0,glass,-4.693118677,5.62687397,0.001970104,NA,0.876129592543125,1.08001738900666,ring_summer
42,P2,P,0,1,0,glass,-3.839399907,5.407953451,0.001366596,NA,0.842042682807203,0.749172350163721,ring_summer
43,P3,NP,1,1,0,glass,-3.29178425,5.77206383,0.00177084,NA,0.898736306957095,0.970780219292259,ring_summer
44,P4,PSi,0,1,1,glass,-4.204477013,8.297474527,0.001599578,NA,1.29195411435125,0.876893836605833,ring_summer
45,P5,NP,1,1,0,glass,-2.794996137,6.199662627,0.001500347,NA,0.9653153634252,0.822495081246461,ring_summer
49,Q1,Si,0,0,1,glass,-3.877329996,4.765393768,0.001608981,NA,0.741993249275741,0.882048591638475,ring_summer
50,Q2,Si,0,0,1,glass,-4.208744148,5.065649324,0.002144628,NA,0.788744390200457,1.17569201065049,ring_summer
52,Q4,C,0,0,0,glass,-5.092515218,6.443522938,0.001693094,NA,1.00328551098013,0.928159610468708,ring_summer
53,Q5,N,1,0,0,glass,-4.599236474,8.265740525,0.003709471,NA,1.28701298746797,2.03354400783711,ring_summer
55,Q7,N,1,0,0,glass,-5.178866212,7.322418171,0.004482987,NA,1.14013345292477,2.45758798250793,ring_summer
56,Q8,N,1,0,0,glass,-4.34586433,6.077227641,0.004385373,NA,0.946251685267645,2.40407567178195,ring_summer
64,R8,NPSi,1,1,1,glass,-6.32454361,8.225753711,0.003825747,NA,1.28078686062672,2.09728688736233,ring_summer
65,S1,N,1,0,0,glass,-4.150288438,8.484209603,0.002204169,NA,1.32102960580915,1.20833257955388,ring_summer
69,S5,NSi,1,0,1,glass,-2.397013454,5.206488128,0.00160793,NA,0.810673625619743,0.881472430036932,ring_summer
71,S7,PSi,0,1,1,glass,-5.906169748,7.420296431,0.001599197,NA,1.15537353836294,0.876684971172733,ring_summer
72,S8,PSi,0,1,1,glass,-5.116332443,7.433969587,0.001745947,NA,1.15750251026793,0.957133796126506,ring_summer
74,T2,C,0,0,0,glass,-4.609076226,5.935585948,0.001880829,NA,0.924197436418846,1.03107654506971,ring_summer
76,T4,NPSi,1,1,1,glass,-5.730398369,6.502880594,0.00436642,NA,1.01252776507056,2.3936855758409,ring_summer
78,T6,P,0,1,0,glass,-3.435955903,4.404007344,0.00087069,NA,0.685723757174474,0.477315075972746,ring_summer
80,T8,NP,1,1,0,glass,-2.900557436,5.479286595,0.001526167,NA,0.853149574257188,0.836649688812433,ring_summer
