id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,chla.nrr,cr.nrr,gpp.nrr,site_date,cr.es,gpp.es,chla.es
61,H5,NSi,1,0,1,glass,-0.685097918,1.68948732,0.489037,0.741093720046887,NA,0.658915721180187,wenas_fall,NA,-0.417159641610795,-0.299628183887624
65,I1,NSi,1,0,1,glass,-0.0238,1.91959124,0.167873,0.254397164356544,NA,0.748658383701731,wenas_fall,NA,-0.289472496034969,-1.36885859397553
67,I3,NP,1,1,0,glass,-0.885836479,1.462801666,0.481785,0.730103934697762,NA,0.570506214095746,wenas_fall,NA,-0.561231217371674,-0.314568378675939
68,I4,NPSi,1,1,1,glass,-1.767119455,3.569882835,1.070611,1.62241934396194,NA,1.39228740867543,wenas_fall,NA,0.330948012349459,0.483918457397115
69,I5,Si,0,0,1,glass,-0.0238,0.600280682,0.513778,0.778586588127789,NA,0.234115032299008,wenas_fall,NA,-1.45194269339432,-0.250275069579897
70,I6,P,0,1,0,glass,-0.718288214,2.063778914,0.565045,0.856277339023209,NA,0.804892913593914,wenas_fall,NA,-0.217046037003807,-0.155160961129185
72,I8,P,0,1,0,glass,-5.590076238,1.693401867,0.950446,1.44031957059217,NA,0.660442430809235,wenas_fall,NA,-0.41484531883471,0.364865012988757
73,J1,C,0,0,0,glass,-1.418281889,0,0.41354,0.626684477837443,NA,0,wenas_fall,NA,-Inf,-0.467312090149125
77,J5,P,0,1,0,glass,-1.143603041,0.245253257,0.0953,0.144418993901215,NA,0.0956510444292323,wenas_fall,NA,-2.34704866387444,-1.93503652446159
79,J7,Si,0,0,1,glass,-1.177148005,1.037626611,0.198121,0.300235419629618,NA,0.404684000056785,wenas_fall,NA,-0.904648763199908,-1.20318837996846
80,J8,C,0,0,0,glass,-2.031661814,1.678593226,0.209053,0.316801930031801,NA,0.654666923500773,wenas_fall,NA,-0.423628686423123,-1.14947852678833
