site.date,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,notes,cr.nrr,chla.nrr,gpp.nrr
toppenish_summer,S1,P,0,1,0,sponge,-23.60390583,16.77761415,NA,NA,,1.23467857010218,NA,NA
toppenish_summer,S2,NPSi,1,1,1,sponge,NA,NA,NA,NA,,NA,NA,NA
toppenish_summer,S6,Si,0,0,1,sponge,-30.23239729,8.192921394,NA,NA,,1.5814032357872,NA,NA
toppenish_summer,S7,NPSi,1,1,1,sponge,-39.13206679,15.25115759,NA,NA,very thin,2.04692920813184,NA,NA
toppenish_summer,S8,NPSi,1,1,1,sponge,-42.9,NA,NA,NA,eaten completely,2.24402313069996,NA,NA
toppenish_summer,T3,P,0,1,0,sponge,-26.92595948,3.577822576,NA,NA,,1.40844932143147,NA,NA
toppenish_summer,T5,NSi,1,0,1,sponge,-38.91523962,13.08384204,NA,NA,,2.03558736233127,NA,NA
toppenish_summer,K1,Si,0,0,1,glass,-13.18238791,8.393443476,0.509926329,1.314419569,,NA,0.593447687850441,3.61318044930558
toppenish_summer,K5,control,0,0,0,glass,-10.06306865,6.104597687,1.462655018,3.770235556,thick growth,NA,1.70222478889442,2.62788604898737
toppenish_summer,L4,PSi,0,1,1,glass,-13.60167437,8.30578903,0.995299807,2.565550097,,NA,1.15832098748153,3.5754472672704
toppenish_summer,L6,NSi,1,0,1,glass,-17.14912786,8.103244466,1.512825911,3.899559342,,NA,1.76061322406064,3.48825658553762
toppenish_summer,L8,N,1,0,0,glass,-11.86919614,6.454650384,1.589333164,4.096769458,,NA,1.84965167884411,2.77857552043537
toppenish_summer,M3,NSi,1,0,1,glass,-13.41660306,6.636082667,0.409723711,1.056130725,,NA,0.476832779730975,2.85667786063494
toppenish_summer,M5,control,0,0,0,glass,-12.87367392,2.491947688,0.675473961,1.741146006,,NA,0.786110535661639,1.07272500168962
toppenish_summer,M6,NP,1,1,0,glass,-12.58646904,0,0.25180633,0.64907252,,NA,0.293049947920594,0
toppenish_summer,M8,NP,1,1,0,glass,-14.47109762,0,0.240354557,0.619553678,,NA,0.279722477038332,0
toppenish_summer,N2,NP,1,1,0,glass,-17.43427869,2.541441355,1.106112792,2.851188918,,NA,1.28728414496992,1.094030863876
toppenish_summer,N4,N,1,0,0,glass,-10.26029365,7.22600303,1.550650836,3.99705935,,NA,1.80463353209441,3.1106247333736
toppenish_summer,N5,Si,0,0,1,glass,-11.2568875,5.554791313,0.838599747,2.161629738,,NA,0.975954862708571,2.39120730716696
toppenish_summer,N7,Si,0,0,1,glass,-15.74076829,5.031419517,0.581409135,1.498678338,,NA,0.676638735068651,2.16590803084106
toppenish_summer,N8,P,0,1,0,glass,-10.79290769,5.276045009,0.312125296,0.804554645,,NA,0.36324861945553,2.27121356457385
toppenish_summer,O2,NPSi,1,1,1,glass,-21.01026817,4.849852708,1.236172562,3.186439516,,NA,1.43864653862703,2.08774778035538
toppenish_summer,O3,N,1,0,0,glass,-17.0893275,3.006264767,1.443403433,3.720611408,,NA,1.67981996733919,1.29412643483209
toppenish_summer,O7,NSi,1,0,1,glass,-17.60800411,9.240070108,1.60439051,4.135582262,,NA,1.86717528343432,3.97763334677855
toppenish_summer,O8,control,0,0,0,glass,-17.03745983,3.018489657,1.064555923,2.744069206,,NA,1.23892063387432,1.29938896309826
toppenish_summer,P2,NPSi,1,1,1,glass,-13.56232649,0,0.457224817,1.178572691,sparse growth,NA,0.532114139908718,0
toppenish_summer,P3,N,1,0,0,glass,-13.44331725,0.554554308,0.191572145,0.493808932,sparse growth,NA,0.222949943721734,0.238722615988673
toppenish_summer,P5,NP,1,1,0,glass,-18.20608308,3.127956709,0.399367686,1.029436356,sparse growth,NA,0.464780531015803,1.34651196014476
toppenish_summer,P6,control,0,0,0,glass,-14.01498972,0,0.050967593,0.131377413,sparse growth,NA,0.0593156278401562,0
toppenish_summer,P7,P,0,1,0,glass,-11.52938358,2.775382915,0.531452592,1.369907077,sparse growth,NA,0.618499759581414,1.1947372156003
toppenish_summer,Q5,NP,1,1,0,glass,-19.50642834,0,0.21683835,0.558936761,sparse growth,NA,0.252354526890085,0
toppenish_summer,Q6,NPSi,1,1,1,glass,-18.01885059,2.440534347,0.195104135,0.502913221,sparse growth,NA,0.227060441909678,1.05059276489481
toppenish_summer,Q8,Si,0,0,1,glass,-14.49321452,3.428901561,0.698852599,1.801408318,,NA,0.813318385091429,1.47606165672338
toppenish_summer,R1,PSi,0,1,1,glass,-18.32337369,6.114434643,0.513450321,1.323503241,,NA,0.597548877662833,2.63212062770366
toppenish_summer,R5,PSi,0,1,1,glass,-13.20607755,5.708921201,0.267890641,0.690532496,sparse growth,NA,0.311768724995903,2.4575566070184
toppenish_summer,R6,NSi,1,0,1,glass,-18.20156252,4.068580214,0.92827518,2.392783018,,NA,1.08031832684918,1.75142830564006
toppenish_summer,R7,PSi,0,1,1,glass,-15.0469095,0.532234394,0.592694546,1.527768356,,NA,0.68977259607375,0.22911441678824
toppenish_summer,R8,NPSi,1,1,1,glass,-19.30598757,0,0.597792577,1.540909375,,NA,0.695705638707528,0
toppenish_summer,S3,NPSi,1,1,1,glass,-18.53956106,2.770752492,1.230617037,3.172119228,,NA,1.43218106747658,1.19274392715993
toppenish_summer,S4,PSi,0,1,1,glass,-15.77923967,0.610234057,1.485282078,3.82856055,,NA,1.72855795803578,0.262691441308614
toppenish_summer,S5,P,0,1,0,glass,-17.8072309,4.328579089,1.297185952,3.343711632,,NA,1.50965337373871,1.86335171999051
toppenish_summer,T1,NSi,1,0,1,glass,-19.40006942,2.486182467,2.038767685,5.255261371,,NA,2.37269954223398,1.07024320934031
toppenish_summer,T2,N,1,0,0,glass,-14.39641456,0.372487337,1.241739286,3.200788668,,NA,1.44512504159354,0.160347057499181
toppenish_summer,T4,P,0,1,0,glass,-19.10936265,2.359058327,1.769147923,4.56027178,,NA,2.05891848207155,1.01551925026485
toppenish_summer,T6,Si,0,0,1,glass,-20.58803705,4.273953063,1.635992862,4.217042558,,NA,1.90395381705703,1.83983649769458
toppenish_summer,T7,P,0,1,0,glass,-12.60001582,2.992819499,0.988374996,2.547700247,,NA,1.15026195331861,1.28833856247527
toppenish_summer,T8,control,0,0,0,glass,-8.181620345,0,1.042652147,2.687608594,,NA,1.21342921512474,0
